Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
AAL,American Airlines Group Inc.,46.91,0.4,0.8516,2/9/17,2/27/17
AAON,AAON Inc.,34.35,0.26,0.7439,11/30/16,12/23/16
AAPL,Apple Inc.,135.72,2.28,1.6846,2/9/17,2/16/17
AAXJ,iShares Trust,60.59,1.27619,2.1025,12/21/16,12/28/16
ABAX,ABAXIS Inc.,49.66,0.56,1.1417,11/29/16,12/15/16
ABCB,Ameris Bancorp,48.75,0.4,0.8239,12/28/16,1/10/17
ABDC,Alcentra Capital Corp.,12.68,1.36,10.625,12/28/16,1/5/17
ACET,Aceto Corporation,15.705,0.26,1.6645,12/8/16,12/22/16
ACNB,ACNB Corporation,29.45,0.8,2.7304,11/29/16,12/15/16
ACSF,American Capital Senior Floating Ltd.,12.65,1.164,9.0938,2/15/17,3/2/17
ACTX,Global X Funds,14.86,0.118615,0.7955,12/28/16,1/6/17
ACWI,iShares Trust,62.42,1.106332,1.7713,12/21/16,12/28/16
ACWX,iShares Trust,42.59,0.779762,1.8253,12/21/16,12/28/16
ADI,Analog Devices Inc.,82.48,1.68,2.0495,11/30/16,12/13/16
ADP,Automatic Data Processing Inc.,99.68,2.28,2.2827,12/7/16,1/1/17
ADRA,BLDRS Index Funds Trust,29.576,0.61788,2.0818,12/16/16,12/30/16
ADRD,BLDRS Index Funds Trust,20.89,0.67272,3.2296,12/16/16,12/30/16
ADRE,BLDRS Index Funds Trust,36.0901,0.65104,1.7935,12/16/16,12/30/16
ADRU,BLDRS Index Funds Trust,20.14,0.7026,3.4886,12/16/16,12/30/16
ADTN,ADTRAN Inc.,21.7,0.36,1.659,1/31/17,2/16/17
AFSI,AmTrust Financial Services Inc.,27.34,0.68,2.47,12/29/16,1/17/17
AGII,Argo Group International Holdings Ltd.,66.6,0.88,1.3037,11/29/16,12/15/16
AGNC,AGNC Investment Corp.,19.49,2.16,11.0997,1/27/17,2/8/17
AGND,WisdomTree Trust,44.0348,0.78,1.7687,2/17/17,2/24/17
AGZD,WisdomTree Trust,47.988,0.96,1.9979,2/17/17,2/24/17
AHGP,Alliance Holdings GP L.P.,30.64,2.2,7.3065,2/8/17,2/17/17
AIA,iShares Trust,50.9,1.651654,3.2436,12/22/16,12/29/16
AIMC,Altra Industrial Motion Corp.,39.75,0.6,1.5019,12/15/16,1/4/17
AIRR,First Trust Exchange-Traded Fund VI,24.25,0.032,0.1316,12/21/16,12/30/16
ALCO,Alico Inc.,26.3,0.24,0.9091,12/28/16,1/16/17
ALGT,Allegiant Travel Company,171.4,2.8,1.6129,11/21/16,12/6/16
ALOG,Analogic Corporation,81.6,0.4,0.4944,12/14/16,12/30/16
ALOT,AstroNova Inc.,13.65,0.28,2.0557,12/12/16,1/3/17
ALTY,Global X Funds,15.505,1.188,7.635,2/1/17,2/10/17
AMAT,Applied Materials Inc.,35.67,0.4,1.137,2/17/17,3/15/17
AMGN,Amgen Inc.,173.29,4.6,2.6727,2/13/17,3/8/17
AMNB,American National Bankshares Inc.,36.55,0.96,2.6483,11/30/16,12/16/16
AMOT,Allied Motion Technologies Inc.,23.24,0.1,0.4327,11/15/16,11/30/16
AMRB,American River Bankshares,15.35,0.2,1.3029,2/6/17,2/22/17
AMRK,A-Mark Precious Metals Inc.,20.75,0.32,1.5466,2/6/17,2/24/17
AMSF,AMERISAFE Inc.,65.25,0.72,1.1009,12/13/16,12/29/16
AMSWA,American Software Inc.,10.35,0.44,4.2636,2/8/17,2/24/17
AMTD,TD Ameritrade Holding Corporation,43.15,0.72,1.664,1/30/17,2/15/17
ANAT,American National Insurance Company,121.17,3.28,2.7018,11/30/16,12/16/16
ANCX,Access National Corporation,27.5,0.6,2.1994,2/1/17,2/24/17
ANDE,The Andersons Inc.,40.05,0.64,1.602,12/29/16,1/24/17
APLP,Archrock Partners L.P.,17.9,1.14,6.4225,2/6/17,2/14/17
APOG,Apogee Enterprises Inc.,58.03,0.56,0.9521,1/27/17,2/15/17
ARCB,ArcBest Corporation,31,0.32,1.0289,2/10/17,2/28/17
ARII,American Railcar Industries Inc.,46.65,1.6,3.4379,12/7/16,12/22/16
ARKR,Ark Restaurants Corp.,25.63,1,3.9541,12/16/16,1/3/17
ARLP,Alliance Resource Partners L.P.,24.3,1.75,7.2765,2/3/17,2/14/17
AROW,Arrow Financial Corporation,35.8,1,2.7972,11/30/16,12/15/16
ARTNA,Artesian Resources Corporation,32.39,0.9132,2.8899,2/8/17,2/22/17
ASET,FlexShares Trust,26.219,1.465572,5.5831,12/28/16,1/4/17
ASRV,AmeriServ Financial Inc.,3.95,0.06,1.5584,2/2/17,2/21/17
ASTE,Astec Industries Inc.,70.45,0.4,0.5558,11/8/16,11/28/16
ATLO,Ames National Corporation,32.25,0.84,2.5926,1/30/17,2/15/17
ATNI,ATN International Inc.,80.75,1.36,1.6769,12/28/16,1/9/17
ATRI,Atrion Corporation,481.05,4.2,0.8917,11/29/16,12/15/16
AUBN,Auburn National Bancorporation Inc.,33.02,0.9,2.7256,12/7/16,12/27/16
BANF,BancFirst Corporation,96.8,1.52,1.5776,12/28/16,1/13/17
BANR,Banner Corporation,58.39,0.92,1.5716,1/5/17,1/18/17
BANX,StoneCastle Financial Corp,19.79,1.48,7.5587,12/20/16,1/3/17
BBBY,Bed Bath & Beyond Inc.,41.14,0.5,1.2231,12/14/16,1/17/17
BBGI,Beasley Broadcast Group Inc.,9.5,0.18,1.9355,12/28/16,1/6/17
BBH,VanEck Vectors ETF Trust,119.45,0.327,0.2746,12/19/16,12/23/16
BBOX,Black Box Corporation,9.65,0.48,4.8485,12/28/16,1/13/17
BBSI,Barrett Business Services Inc.,64.38,0.88,1.3748,11/18/16,12/6/16
BCBP,BCB Bancorp Inc. (NJ),14.6,0.56,3.9298,1/30/17,2/15/17
BCPC,Balchem Corporation,83.87,0.38,0.4522,12/22/16,1/20/17
BDGE,Bridge Bancorp Inc.,36.55,0.92,2.5414,1/19/17,1/31/17
BEAV,B/E Aerospace Inc.,62.83,0.84,1.3408,11/17/16,12/16/16
BELFA,Bel Fuse Inc.,24.0201,0.24,0.9856,1/11/17,2/1/17
BELFB,Bel Fuse Inc.,29.9,0.28,0.8833,1/11/17,2/1/17
BFIN,BankFinancial Corporation,14.76,0.24,1.6304,2/6/17,2/24/17
BFIT,Global X Funds,14.8801,0.075078,0.5046,12/28/16,1/6/17
BGCP,BGC Partners Inc.,11.69,0.64,5.4468,11/21/16,12/8/16
BGFV,Big 5 Sporting Goods Corporation,13.4,0.6,4.3956,11/29/16,12/15/16
BHBK,Blue Hills Bancorp Inc.,18.9,0.2,1.061,2/6/17,2/22/17
BICK,First Trust Exchange-Traded Fund II,24.4527,0.476,1.9295,12/21/16,12/30/16
BKCC,BlackRock Capital Investment Corporation,7.76,0.84,10.9091,12/15/16,1/2/17
BKEP,Blueknight Energy Partners L.P. L.L.C.,7.1,0.58,8.169,2/1/17,2/14/17
BKMU,Bank Mutual Corporation,9.85,0.22,2.2222,2/15/17,2/27/17
BKSC,Bank of South Carolina Corp.,20.75,0.56,2.673,12/28/16,1/31/17
BLKB,Blackbaud Inc.,73.43,0.48,0.6551,11/21/16,12/15/16
BLMN,Bloomin' Brands Inc.,18.86,0.28,1.5634,11/7/16,11/22/16
BMLA,Recon Capital Series Trust,30.54,3.3242,10.8572,12/21/16,12/27/16
BMRC,Bank of Marin Bancorp,69.4,1.08,1.5596,2/1/17,2/10/17
BMTC,Bryn Mawr Bank Corporation,41.85,0.84,2.012,1/31/17,3/1/17
BNCL,Beneficial Bancorp Inc.,16.8,0.24,1.4371,2/9/17,2/23/17
BNCN,BNC Bancorp,36.55,0.2,0.5427,2/8/17,2/24/17
BNDX,Vanguard Charlotte Funds,53.92,0.54,1.0028,2/1/17,2/7/17
BOBE,Bob Evans Farms Inc.,56.85,1.36,2.3939,12/8/16,12/23/16
BOCH,Bank of Commerce Holdings (CA),10.6,0.12,1.106,12/29/16,1/13/17
BOKF,BOK Financial Corporation,83.86,1.76,2.0942,2/8/17,2/24/17
BOOM,DMC Global Inc.,16.05,0.08,0.4863,12/28/16,1/16/17
BOTJ,Bank of the James Financial Group Inc.,16.048,0.24,1.4803,11/30/16,12/16/16
BOTZ,Global X Funds,16.7,0.008532,0.0514,12/28/16,1/6/17
BPFH,Boston Private Financial Holdings Inc.,17,0.44,2.5581,2/1/17,2/17/17
BPOP,Popular Inc.,45.37,0.6,1.3135,12/7/16,1/2/17
BRCD,Brocade Communications Systems Inc.,12.35,0.22,1.7857,12/8/16,1/4/17
BRKL,Brookline Bancorp Inc.,16.05,0.36,2.2571,2/8/17,2/24/17
BRKR,Bruker Corporation,24.69,0.16,0.6595,12/1/16,12/23/16
BRKS,Brooks Automation Inc.,21.41,0.4,1.845,11/30/16,12/23/16
BSET,Bassett Furniture Industries Incorporated,26.3,0.4,1.5152,2/8/17,2/24/17
BSF,Bear State Financial Inc.,9.65,0.12,1.2487,1/30/17,2/15/17
BSRR,Sierra Bancorp,28.48,0.56,1.9851,1/31/17,2/16/17
BUSE,First Busey Corporation,31.06,0.72,2.3415,1/25/17,2/3/17
BWFG,Bankwell Financial Group Inc.,32.09,0.28,0.8709,2/15/17,2/27/17
CA,CA Inc.,32.09,1.02,3.1985,2/14/17,3/14/17
CAC,Camden National Corporation,42.07,0.92,2.1973,1/12/17,1/31/17
CAKE,The Cheesecake Factory Incorporated,61.83,0.96,1.5582,11/7/16,11/22/16
CAPX,Elkhorn ETF Trust,27.1869,0.33896,1.2468,12/22/16,12/29/16
CARO,Carolina Financial Corporation,30.89,0.16,0.5083,12/23/16,1/11/17
CARZ,First Trust Exchange-Traded Fund II,36.21,1.0384,2.8614,12/21/16,12/30/16
CASH,Meta Financial Group Inc.,86.9,0.52,0.619,12/6/16,1/3/17
CASS,Cass Information Systems Inc,66.64,0.92,1.4063,12/1/16,12/15/16
CASY,Caseys General Stores Inc.,117.5,0.96,0.8201,1/30/17,2/15/17
CATH,Global X Funds,28.55,0.134748,0.4723,12/28/16,1/6/17
CATY,Cathay General Bancorp,39.42,0.84,2.1516,11/29/16,12/12/16
CBF,Capital Bank Financial Corp.,39.85,0.48,1.206,2/6/17,2/22/17
CBFV,CB Financial Services Inc.,25.85,0.88,3.3397,12/7/16,12/19/16
CBOE,CBOE Holdings Inc.,80.94,1,1.2438,11/30/16,12/16/16
CBRL,Cracker Barrel Old Country Store Inc.,168.69,4.6,2.7454,1/11/17,2/6/17
CBSH,Commerce Bancshares Inc.,59.12,0.9,1.5327,11/30/16,12/19/16
CCBG,Capital City Bank Group,21.36,0.2,0.9506,12/1/16,12/19/16
CCD,Calamos Dynamic Convertible & Income Fund,19.23,2.004,10.5031,2/8/17,2/15/17
CCLP,CSI Compressco LP,11.17,1.51,13.304,1/30/17,2/14/17
CCMP,Cabot Microelectronics Corporation,69.25,0.72,1.036,12/21/16,1/30/17
CCNE,CNB Financial Corporation,26.04,0.66,2.5316,11/29/16,12/15/16
CCOI,Cogent Communications Holdings Inc.,42.1,1.6,3.8232,11/18/16,12/9/16
CCUR,Concurrent Computer Corporation,4.9,0.48,9.8969,12/12/16,12/28/16
CDC,Victory Portfolios II,42.38,0.760077,1.7931,2/14/17,2/17/17
CDK,CDK Global Inc.,65.47,0.56,0.8614,12/16/16,12/30/16
CDL,Victory Portfolios II,41.26,0.724414,1.7555,2/14/17,2/17/17
CDOR,Condor Hospitality Trust Inc.,2.21,0.12,5.6075,12/16/16,1/5/17
CDW,CDW Corporation,59.99,0.64,1.0879,11/22/16,12/12/16
