Company,Symbol,Current Price,Market Cap,Dividend,Yield,52-Week Return
Verizon,VZ,49.19,$200.5B,2.31,4.70%,-7.80%
Chevron,CVX,110.33,$208.3B,4.32,3.92%,-6.30%
Pfizer,PFE,33.62,$204B,1.28,3.81%,3.50%
ExxonMobil,XOM,81.76,$339.1B,3,3.67%,-9.40%
Coca-Cola,KO,41.23,$177.8B,1.48,3.59%,-0.60%
Cisco Systems,CSCO,33.74,$169.4B,1.16,3.44%,11.60%
Boeing,BA,172.71,$105.8B,5.68,3.29%,10.90%
General Electric,GE,30.37,$268.7B,0.96,3.16%,-3.90%
Caterpillar,CAT,98.85,$58B,3.08,3.12%,6.60%
IBM,IBM,180.67,$171.8B,5.6,3.10%,8.80%
Procter & Gamble,PG,91.09,$232.9B,2.68,2.94%,8.30%
McDonald's,MCD,127.8,$106.1B,3.76,2.94%,5.00%
Wal-Mart,WMT,69.37,$213.2B,2,2.88%,0.40%
Merck,MRK,65.39,$180.3B,1.88,2.88%,11.10%
Intel,INTC,36.48,$172.9B,1.04,2.85%,0.60%
Johnson & Johnson,JNJ,118.86,$323.4B,3.2,2.69%,3.20%
3M,MMM,182.95,$109.1B,4.7,2.57%,2.50%
Microsoft,MSFT,64.62,$499.4B,1.56,2.41%,4.00%
United Technologies,UTX,112.15,$90.4B,2.64,2.35%,2.30%
Travelers,TRV,121.95,$34.1B,2.68,2.20%,-0.40%
JPMorgan Chase,JPM,90.23,$322.9B,1.92,2.13%,4.60%
DuPont,DD,77.49,$67B,1.52,1.96%,5.60%
The Home Depot,HD,143,$174.2B,2.76,1.93%,6.70%
Apple,AAPL,135.72,$712.1B,2.28,1.68%,17.20%
American Express,AXP,79.71,$73B,1.28,1.61%,7.60%
UnitedHealth Group,UNH,157.62,$149.9B,2.5,1.59%,-1.50%
Walt Disney,DIS,110.06,$174B,1.56,1.42%,5.60%
Nike,NKE,56.75,$93.9B,0.72,1.27%,11.60%
Goldman Sachs,GS,250.38,$99.6B,2.6,1.04%,4.60%
Visa,V,87.46,$203.4B,0.66,0.75%,12.10%
